TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,GRM,41.9,2020-01-31,40.6
AMZN,AMZN,GRM,42,2020-01-31,40.6
AMZN,AMZN,GRM,43.2,2020-01-31,40.6
AMZN,AMZN,GRM,42.4,2020-01-31,40.6
AMZN,AMZN,GRM,41.5,2020-01-31,40.6
AMZN,AMZN,GRM,42.3,2020-01-31,40.6
AMZN,AMZN,GRM,40.8,2020-01-31,40.6
AMZN,AMZN,GRM,40.5,2020-02-13,40.6
AMZN,AMZN,GRM,42,2020-03-10,40.6
AMZN,AMZN,GRM,44.67,2020-03-19,40.6
AMZN,AMZN,GRM,42.4,2020-03-19,40.6
AMZN,AMZN,GRM,41.9,2020-03-20,40.6
AMZN,AMZN,GRM,41.3,2020-03-20,40.6
AMZN,AMZN,GRM,43,2020-03-26,40.6
AMZN,AMZN,GRM,43.1,2020-03-30,40.6
AMZN,AMZN,GRM,42.6,2020-04-07,40.6
AMZN,AMZN,GRM,41.6,2020-04-08,40.6
AMZN,AMZN,GRM,43,2020-04-16,40.6
AMZN,AMZN,GRM,41.8,2020-04-16,40.6
AMZN,AMZN,GRM,41.9,2020-04-20,40.6
AMZN,AMZN,GRM,41.7,2020-04-23,40.6
AMZN,AMZN,GRM,41.7,2020-04-24,40.6
AMZN,AMZN,GRM,41.6,2020-04-26,40.6
AMZN,AMZN,GRM,39.4,2020-04-27,40.6
AMZN,AMZN,GRM,41,2020-04-27,40.6
AMZN,AMZN,GRM,41.8,2020-04-29,40.6
AMZN,AMZN,GRM,44.67,2019-10-24,40.6
AMZN,AMZN,GRM,42,2019-10-24,40.6
AMZN,AMZN,GRM,41.5,2019-10-24,40.6
AMZN,AMZN,GRM,40.7,2019-10-25,40.6
AMZN,AMZN,GRM,43.9,2019-10-25,40.6
AMZN,AMZN,GRM,42.3,2019-10-25,40.6
AMZN,AMZN,GRM,42.8,2019-10-25,40.6
AMZN,AMZN,GRM,43.1,2019-10-25,40.6
AMZN,AMZN,GRM,44.1,2019-10-25,40.6
AMZN,AMZN,GRM,41.8,2019-10-25,40.6
AMZN,AMZN,GRM,40.5,2019-10-25,40.6
AMZN,AMZN,GRM,42.4,2019-10-25,40.6
AMZN,AMZN,GRM,43.2,2019-10-25,40.6
AMZN,AMZN,GRM,42.8,2019-10-25,40.6
AMZN,AMZN,GRM,43.5,2019-10-25,40.6
AMZN,AMZN,GRM,42,2019-10-25,40.6
AMZN,AMZN,GRM,41.3,2019-10-25,40.6
AMZN,AMZN,GRM,42,2019-11-26,40.6
AMZN,AMZN,GRM,43.6,2019-12-23,40.6
AMZN,AMZN,GRM,42,2020-01-07,40.6
AMZN,AMZN,GRM,42,2020-01-09,40.6
AMZN,AMZN,GRM,42,2020-01-13,40.6
AMZN,AMZN,GRM,41.7,2020-01-14,40.6
AMZN,AMZN,GRM,41.3,2020-01-23,40.6
AMZN,AMZN,GRM,43.8,2020-01-26,40.6
AMZN,AMZN,GRM,42.2,2020-01-28,40.6
AMZN,AMZN,GRM,42,2020-01-29,40.6
AMZN,AMZN,GRM,42.7,2019-09-02,40.6
AMZN,AMZN,GRM,43.1,2019-09-05,40.6
AMZN,AMZN,GRM,43,2019-10-08,40.6
AMZN,AMZN,GRM,42.7,2019-10-22,40.6
AMZN,AMZN,GRM,42.6,2020-01-30,39.57
AMZN,AMZN,GRM,41.1,2020-01-30,39.57
AMZN,AMZN,GRM,41.3,2020-01-30,39.57
AMZN,AMZN,GRM,39.4,2020-01-30,39.57
AMZN,AMZN,GRM,43,2020-01-30,39.57
AMZN,AMZN,GRM,42.1,2020-01-30,39.57
AMZN,AMZN,GRM,41.6,2020-01-30,39.57
AMZN,AMZN,GRM,41.2,2020-01-31,39.57
AMZN,AMZN,GRM,42,2020-01-31,39.57
AMZN,AMZN,GRM,42,2020-01-31,39.57
AMZN,AMZN,GRM,42.4,2020-01-31,39.57
AMZN,AMZN,GRM,41.7,2020-01-31,39.57
AMZN,AMZN,GRM,41.4,2020-01-31,39.57
AMZN,AMZN,GRM,41.5,2020-01-31,39.57
AMZN,AMZN,GRM,41.6,2020-01-31,39.57
AMZN,AMZN,GRM,41.9,2020-01-31,39.57
AMZN,AMZN,GRM,41.6,2020-01-31,39.57
AMZN,AMZN,GRM,42.4,2020-01-31,39.57
AMZN,AMZN,GRM,41.808,2020-01-31,39.57
AMZN,AMZN,GRM,42,2020-01-31,39.57
AMZN,AMZN,GRM,41.2,2020-01-31,39.57
AMZN,AMZN,GRM,41.9,2020-01-31,39.57
AMZN,AMZN,GRM,41.2,2020-01-31,39.57
AMZN,AMZN,GRM,41.6,2020-01-31,39.57
AMZN,AMZN,GRM,40.8,2020-01-31,39.57
AMZN,AMZN,GRM,40.5,2020-02-13,39.57
AMZN,AMZN,GRM,41.7,2020-03-03,39.57
AMZN,AMZN,GRM,41.8,2020-03-18,39.57
AMZN,AMZN,GRM,41.9,2020-03-19,39.57
AMZN,AMZN,GRM,41.5,2020-03-20,39.57
AMZN,AMZN,GRM,41.1,2020-03-20,39.57
AMZN,AMZN,GRM,42,2020-03-26,39.57
AMZN,AMZN,GRM,42,2020-03-30,39.57
AMZN,AMZN,GRM,41.9,2020-04-07,39.57
AMZN,AMZN,GRM,41,2020-04-08,39.57
AMZN,AMZN,GRM,41.5,2020-04-16,39.57
AMZN,AMZN,GRM,42.1,2020-04-15,39.57
AMZN,AMZN,GRM,41.7,2020-04-20,39.57
AMZN,AMZN,GRM,41.6,2020-04-22,39.57
AMZN,AMZN,GRM,41.3,2020-04-23,39.57
AMZN,AMZN,GRM,41.1,2020-04-24,39.57
AMZN,AMZN,GRM,41.3,2020-04-24,39.57
AMZN,AMZN,GRM,41.2,2020-04-26,39.57
AMZN,AMZN,GRM,40.6,2020-04-26,39.57
AMZN,AMZN,GRM,39.2,2020-04-27,39.57
AMZN,AMZN,GRM,41.775,2020-04-27,39.57
AMZN,AMZN,GRM,41,2020-04-27,39.57
AMZN,AMZN,GRM,40.9,2020-04-30,39.57
AMZN,AMZN,GRM,39.3,2020-04-30,39.57
AMZN,AMZN,GRM,40.5,2020-04-30,39.57
AMZN,AMZN,GRM,40.1,2020-04-30,39.57
AMZN,AMZN,GRM,39.7,2020-04-30,39.57
AMZN,AMZN,GRM,39.5,2020-04-30,39.57
AMZN,AMZN,GRM,40.781,2020-05-01,39.57
AMZN,AMZN,GRM,41.3,2020-05-01,39.57
AMZN,AMZN,GRM,40.7,2020-05-01,39.57
AMZN,AMZN,GRM,40.5,2020-05-01,39.57
AMZN,AMZN,GRM,41,2020-05-01,39.57
AMZN,AMZN,GRM,40.3,2020-05-01,39.57
AMZN,AMZN,GRM,39.9,2020-05-01,39.57
AMZN,AMZN,GRM,40.1,2020-05-01,39.57
AMZN,AMZN,GRM,40,2020-05-01,39.57
AMZN,AMZN,GRM,40.4,2020-05-01,39.57
AMZN,AMZN,GRM,41.2,2020-05-01,39.57
AMZN,AMZN,GRM,40.3,2020-05-01,39.57
